Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2014-03-06,23720.0,,24880.0,,22200.0,,22200.0,,6,
2014-03-07,22000.0,,24000.0,,21280.0,,23000.0,,2,
2014-03-10,21840.0,,22040.0,,20880.0,,22040.0,,0,
2014-03-11,21840.0,,21920.0,,20480.0,,20480.0,,1,
2014-03-12,20880.0,,21400.0,,20560.0,,20600.0,,1,
2014-03-13,20600.0,,21120.0,,20600.0,,20880.0,,0,
2014-03-14,20960.0,,20960.0,,20600.0,,20600.0,,1,
2014-03-17,21320.0,,21320.0,,20720.0,,20840.0,,1,
2014-03-18,21240.0,,21240.0,,21160.0,,21240.0,,1,
2014-03-19,20920.0,,22400.0,,20400.0,,21400.0,,2,
2014-03-20,20840.0,,21200.0,,20400.0,,20800.0,,1,
2014-03-21,22800.0,,23000.0,,21320.0,,21320.0,,1,
2014-03-24,21240.0,,23360.0,,20800.0,,22400.0,,2,
2014-03-25,21400.0,,21400.0,,20800.0,,20800.0,,0,
2014-03-26,20520.0,,22400.0,,20520.0,,22400.0,,2,
2014-03-27,20320.0,,20480.0,,20320.0,,20480.0,,1,
2014-03-28,20480.0,,21000.0,,20480.0,,21000.0,,1,
2014-03-31,21000.0,,21000.0,,19240.0,,20360.0,,3,
2014-04-01,19800.0,,20840.0,,19760.0,,20760.0,,2,
2014-04-02,19720.0,,19720.0,,19640.0,,19640.0,,1,
2014-04-03,20600.0,,20760.0,,20040.0,,20480.0,,2,
2014-04-04,20000.0,,20040.0,,20000.0,,20040.0,,0,
2014-04-07,20000.0,,20000.0,,19520.0,,20000.0,,1,
2014-04-08,20040.0,,20040.0,,20040.0,,20040.0,,0,
2014-04-09,20600.0,,20600.0,,20200.0,,20280.0,,1,
2014-04-10,19680.0,,20360.0,,19600.0,,20360.0,,1,
2014-04-11,20120.0,,20720.0,,19760.0,,20720.0,,0,
2014-04-14,19920.0,,20880.0,,19920.0,,20880.0,,0,
2014-04-15,20280.0,,20280.0,,19600.0,,19800.0,,1,
2014-04-16,20280.0,,20280.0,,20280.0,,20280.0,,0,
2014-04-17,20560.0,,20560.0,,20320.0,,20320.0,,1,
2014-04-21,20400.0,,20680.0,,20400.0,,20680.0,,0,
2014-04-22,20400.0,,20400.0,,20400.0,,20400.0,,0,
2014-04-23,20400.0,,20400.0,,20400.0,,20400.0,,0,
2014-04-24,19680.0,,19680.0,,19680.0,,19680.0,,0,
2014-04-25,19680.0,,19680.0,,19680.0,,19680.0,,0,
2014-04-28,20000.0,,20040.0,,19800.0,,20040.0,,0,
2014-04-29,19760.0,,19760.0,,19440.0,,19680.0,,1,
2014-04-30,19760.0,,19760.0,,19760.0,,19760.0,,0,
2014-05-01,19400.0,,19400.0,,19400.0,,19400.0,,0,
2014-05-02,21360.0,,21360.0,,19400.0,,19400.0,,3,
2014-05-05,19480.0,,20960.0,,19440.0,,19480.0,,0,
2014-05-06,20000.0,,20000.0,,19480.0,,19480.0,,0,
2014-05-07,20640.0,,20640.0,,19880.0,,20000.0,,0,
2014-05-08,20640.0,,20640.0,,20640.0,,20640.0,,0,
2014-05-09,20640.0,,20640.0,,20640.0,,20640.0,,0,
2014-05-12,19720.0,,20200.0,,19600.0,,19960.0,,1,
2014-05-13,19200.0,,19600.0,,18960.0,,19600.0,,1,
2014-05-14,20640.0,,20680.0,,19560.0,,19600.0,,1,
2014-05-15,20640.0,,20640.0,,20640.0,,20640.0,,0,
2014-05-16,16200.0,,19480.0,,16160.0,,19480.0,,1,
2014-05-19,16200.0,,16200.0,,16200.0,,16200.0,,0,
2014-05-20,16200.0,,16200.0,,16200.0,,16200.0,,0,
2014-05-21,16240.0,,16320.0,,16240.0,,16320.0,,0,
2014-05-22,15600.0,,16440.0,,15600.0,,16240.0,,1,
2014-05-23,15600.0,,15600.0,,15600.0,,15600.0,,0,
2014-05-27,15560.0,,15560.0,,15440.0,,15440.0,,0,
2014-05-28,16960.0,,16960.0,,16960.0,,16960.0,,0,
2014-05-29,17240.0,,17240.0,,16880.0,,16880.0,,1,
2014-05-30,17240.0,,17240.0,,17240.0,,17240.0,,0,
2014-06-02,15960.0,,15960.0,,15800.0,,15800.0,,0,
2014-06-03,15960.0,,15960.0,,15880.0,,15880.0,,0,
2014-06-04,14320.0,,14320.0,,14200.0,,14320.0,,2,
2014-06-05,14320.0,,14320.0,,14040.0,,14160.0,,0,
2014-06-06,14000.0,,14320.0,,14000.0,,14320.0,,0,
2014-06-09,14240.0,,15160.0,,13920.0,,15160.0,,1,
2014-06-10,14520.0,,14520.0,,14120.0,,14120.0,,0,
2014-06-11,14560.0,,14960.0,,14480.0,,14480.0,,1,
2014-06-12,14520.0,,14520.0,,14520.0,,14520.0,,0,
2014-06-13,14520.0,,14520.0,,14520.0,,14520.0,,0,
2014-06-16,14440.0,,14440.0,,14440.0,,14440.0,,0,
2014-06-17,14440.0,,14440.0,,14440.0,,14440.0,,0,
2014-06-18,14440.0,,14440.0,,14440.0,,14440.0,,0,
2014-06-19,14440.0,,14440.0,,14440.0,,14440.0,,0,
2014-06-20,14000.0,,14560.0,,14000.0,,14560.0,,0,
2014-06-23,14000.0,,14000.0,,14000.0,,14000.0,,0,
2014-06-24,14560.0,,14560.0,,14440.0,,14440.0,,0,
2014-06-25,14720.0,,14720.0,,14720.0,,14720.0,,0,
2014-06-26,15040.0,,15040.0,,14880.0,,14880.0,,0,
2014-06-27,14880.0,,16000.0,,14800.0,,16000.0,,1,
2014-06-30,15920.0,,15920.0,,14520.0,,14520.0,,0,
2014-07-01,18440.0,,18440.0,,15200.0,,15960.0,,1,
2014-07-02,18920.0,,20280.0,,17200.0,,20280.0,,1,
2014-07-03,20560.0,,20560.0,,18400.0,,19040.0,,1,
2014-07-07,20880.0,,20920.0,,19600.0,,20920.0,,1,
2014-07-08,18960.0,,20920.0,,18040.0,,20920.0,,0,
2014-07-09,19960.0,,20720.0,,18960.0,,18960.0,,0,
2014-07-10,21720.0,,21720.0,,21720.0,,21720.0,,0,
2014-07-11,18600.0,,19360.0,,17400.0,,17600.0,,1,
2014-07-14,17800.0,,18840.0,,17800.0,,18840.0,,1,
2014-07-15,17080.0,,17080.0,,16320.0,,16320.0,,0,
2014-07-16,17800.0,,17800.0,,16400.0,,17080.0,,1,
2014-07-17,17000.0,,17560.0,,17000.0,,17560.0,,1,
2014-07-18,17000.0,,17000.0,,17000.0,,17000.0,,0,
2014-07-21,17080.0,,17880.0,,17080.0,,17880.0,,1,
2014-07-22,17200.0,,17200.0,,17200.0,,17200.0,,0,
2014-07-23,17200.0,,17880.0,,17120.0,,17800.0,,9,
2014-07-24,17440.0,,17680.0,,17080.0,,17080.0,,1,
2014-07-25,17200.0,,17200.0,,17200.0,,17200.0,,0,
2014-07-28,16480.0,,16480.0,,16480.0,,16480.0,,0,
2014-07-29,15840.0,,16560.0,,13920.0,,16480.0,,2,
2014-07-30,15840.0,,15840.0,,15840.0,,15840.0,,0,
2014-07-31,15040.0,,15040.0,,15040.0,,15040.0,,0,
2014-08-01,15400.0,,16160.0,,14280.0,,15080.0,,4,
2014-08-04,15000.0,,15720.0,,14440.0,,15720.0,,2,
2014-08-05,17720.0,,19720.0,,14600.0,,15160.0,,12,
2014-08-06,19360.0,,20760.0,,17600.0,,17600.0,,2,
2014-08-07,17000.0,,18520.0,,17000.0,,18520.0,,2,
2014-08-08,17360.0,,17360.0,,16200.0,,16360.0,,6,
2014-08-11,16800.0,,17040.0,,16000.0,,17040.0,,1,
2014-08-12,17520.0,,17520.0,,16440.0,,16440.0,,1,
2014-08-13,17520.0,,17520.0,,17520.0,,17520.0,,0,
2014-08-14,16640.0,,16720.0,,16640.0,,16720.0,,0,
2014-08-15,16640.0,,16640.0,,16640.0,,16640.0,,0,
2014-08-18,17760.0,,18200.0,,15520.0,,17040.0,,12,
2014-08-19,17600.0,,19840.0,,15800.0,,19040.0,,9,
2014-08-20,18560.0,,21600.0,,16800.0,,17040.0,,22,
2014-08-21,18920.0,,19200.0,,17480.0,,19000.0,,3,
2014-08-22,18880.0,,18920.0,,18880.0,,18880.0,,0,
2014-08-25,18800.0,,19760.0,,18800.0,,18840.0,,1,
2014-08-26,18840.0,,19440.0,,18360.0,,18800.0,,2,
2014-08-27,18840.0,,18840.0,,18840.0,,18840.0,,0,
2014-08-28,17200.0,,17200.0,,17200.0,,17200.0,,0,
2014-08-29,19200.0,,19240.0,,16320.0,,18400.0,,2,
2014-09-02,18760.0,,18800.0,,17360.0,,18800.0,,0,
2014-09-03,18480.0,,18720.0,,18360.0,,18720.0,,0,
2014-09-04,18520.0,,18520.0,,18520.0,,18520.0,,0,
2014-09-05,18160.0,,18160.0,,17960.0,,17960.0,,0,
2014-09-08,16680.0,,18000.0,,16680.0,,18000.0,,6,
2014-09-09,16680.0,,16680.0,,16240.0,,16680.0,,1,
2014-09-10,15720.0,,16680.0,,15720.0,,16600.0,,1,
2014-09-11,16000.0,,16000.0,,15760.0,,15800.0,,1,
2014-09-12,15880.0,,15920.0,,15000.0,,15000.0,,0,
2014-09-15,15160.0,,15480.0,,15160.0,,15480.0,,0,
2014-09-16,16320.0,,17000.0,,15200.0,,15400.0,,1,
2014-09-17,16800.0,,16840.0,,16800.0,,16840.0,,0,
2014-09-18,16280.0,,16480.0,,16200.0,,16480.0,,0,
2014-09-19,17000.0,,17000.0,,16200.0,,16200.0,,1,
2014-09-22,16880.0,,17280.0,,16040.0,,17160.0,,1,
2014-09-23,15880.0,,16320.0,,15880.0,,16040.0,,1,
2014-09-24,19920.0,,27160.0,,16400.0,,16400.0,,144,
2014-09-25,18080.0,,19560.0,,17520.0,,19120.0,,10,
2014-09-26,18480.0,,18960.0,,17200.0,,17680.0,,2,
2014-09-29,17840.0,,18760.0,,16680.0,,18760.0,,2,
2014-09-30,15560.0,,17320.0,,15160.0,,17200.0,,5,
2014-10-01,15960.0,,16720.0,,15560.0,,16720.0,,1,
2014-10-02,16240.0,,16320.0,,15600.0,,16320.0,,1,
2014-10-03,15920.0,,16280.0,,15640.0,,15720.0,,1,
2014-10-06,16200.0,,16200.0,,15720.0,,15720.0,,1,
2014-10-07,16160.0,,16160.0,,15600.0,,15600.0,,0,
2014-10-08,15920.0,,16600.0,,15600.0,,16000.0,,2,
2014-10-09,15200.0,,16360.0,,15080.0,,16360.0,,3,
2014-10-10,14920.0,,15160.0,,14440.0,,14440.0,,2,
2014-10-13,14280.0,,15320.0,,14240.0,,14720.0,,3,
2014-10-14,14640.0,,15000.0,,14560.0,,14600.0,,2,
2014-10-15,14280.0,,14600.0,,14280.0,,14480.0,,1,
2014-10-16,14720.0,,14720.0,,14720.0,,14720.0,,0,
2014-10-17,15280.0,,15600.0,,14600.0,,15080.0,,1,
2014-10-20,15600.0,,15600.0,,14440.0,,14840.0,,1,
2014-10-21,15760.0,,16840.0,,15080.0,,15760.0,,2,
2014-10-22,17400.0,,17400.0,,16600.0,,16640.0,,0,
2014-10-23,16320.0,,17040.0,,16320.0,,16360.0,,1,
2014-10-24,15360.0,,16480.0,,15360.0,,16200.0,,1,
2014-10-27,16160.0,,16680.0,,15680.0,,15680.0,,2,
2014-10-28,16760.0,,16800.0,,15960.0,,16240.0,,1,
2014-10-29,16760.0,,16760.0,,16760.0,,16760.0,,0,
2014-10-30,15840.0,,16320.0,,15840.0,,15840.0,,0,
2014-10-31,15640.0,,16000.0,,15600.0,,15960.0,,1,
2014-11-03,15280.0,,15600.0,,15200.0,,15320.0,,2,
2014-11-04,15000.0,,15400.0,,15000.0,,15160.0,,1,
2014-11-05,15400.0,,15400.0,,15400.0,,15400.0,,0,
2014-11-06,15400.0,,16520.0,,15400.0,,15800.0,,2,
2014-11-07,15800.0,,15840.0,,15800.0,,15840.0,,0,
2014-11-10,16520.0,,22520.0,,16080.0,,16520.0,,27,
2014-11-11,16840.0,,18720.0,,16040.0,,18720.0,,2,
2014-11-12,16440.0,,16840.0,,16320.0,,16400.0,,1,
2014-11-13,17200.0,,17200.0,,16280.0,,16400.0,,2,
2014-11-14,17040.0,,17480.0,,16320.0,,16320.0,,1,
2014-11-17,22400.0,,27280.0,,21400.0,,26120.0,,201,
2014-11-18,21720.0,,22440.0,,20760.0,,21600.0,,29,
2014-11-19,21400.0,,21520.0,,20200.0,,21520.0,,7,
2014-11-20,23760.0,,24760.0,,20280.0,,21360.0,,41,
2014-11-21,23920.0,,25200.0,,22640.0,,24400.0,,12,
2014-11-24,22720.0,,24000.0,,22400.0,,24000.0,,7,
2014-11-25,22400.0,,23160.0,,22400.0,,23120.0,,2,
2014-11-26,23320.0,,23960.0,,22480.0,,22720.0,,10,
2014-11-28,22440.0,,23800.0,,22120.0,,22720.0,,8,
2014-12-01,22320.0,,23000.0,,21760.0,,21760.0,,11,
2014-12-02,22240.0,,22400.0,,21240.0,,21240.0,,4,
2014-12-03,21720.0,,22600.0,,21720.0,,21720.0,,2,
2014-12-04,22080.0,,22560.0,,21560.0,,21560.0,,1,
2014-12-05,22040.0,,24680.0,,22040.0,,22520.0,,14,
2014-12-08,21840.0,,23200.0,,21400.0,,22440.0,,4,
2014-12-09,22920.0,,22920.0,,21200.0,,21720.0,,2,
2014-12-10,21440.0,,22600.0,,21400.0,,22440.0,,2,
2014-12-11,21240.0,,22200.0,,21240.0,,21600.0,,3,
2014-12-12,21440.0,,21720.0,,20040.0,,21720.0,,5,
2014-12-15,20400.0,,21600.0,,20400.0,,20560.0,,1,
2014-12-16,20200.0,,21480.0,,20000.0,,20560.0,,3,
2014-12-17,20680.0,,20920.0,,20200.0,,20320.0,,1,
2014-12-18,20200.0,,20920.0,,20200.0,,20800.0,,2,
2014-12-19,20680.0,,20880.0,,20200.0,,20720.0,,0,
2014-12-22,20080.0,,20560.0,,20000.0,,20560.0,,2,
2014-12-23,19600.0,,20000.0,,19520.0,,20000.0,,2,
2014-12-24,19800.0,,19800.0,,19200.0,,19200.0,,1,
2014-12-26,18880.0,,19520.0,,18200.0,,19240.0,,1,
2014-12-29,18000.0,,18880.0,,17320.0,,18880.0,,1,
2014-12-30,17240.0,,17760.0,,17040.0,,17760.0,,2,
2014-12-31,17320.0,,17320.0,,17040.0,,17040.0,,1,
2015-01-02,17240.0,,17240.0,,17200.0,,17240.0,,0,
2015-01-05,17640.0,,19120.0,,17200.0,,17200.0,,6,
2015-01-06,19160.0,,19160.0,,17800.0,,17800.0,,1,
2015-01-07,20040.0,,22520.0,,19200.0,,22240.0,,5,
2015-01-08,19960.0,,21720.0,,18200.0,,21360.0,,3,
2015-01-09,19800.0,,20880.0,,18760.0,,20880.0,,1,
2015-01-12,19600.0,,20280.0,,18200.0,,19000.0,,1,
2015-01-13,20160.0,,20160.0,,18240.0,,18480.0,,1,
2015-01-14,19320.0,,19760.0,,19200.0,,19760.0,,0,
2015-01-15,20320.0,,20480.0,,19240.0,,19240.0,,1,
2015-01-16,20320.0,,20800.0,,19400.0,,19760.0,,1,
2015-01-20,19480.0,,20480.0,,19480.0,,20480.0,,0,
2015-01-21,20360.0,,20360.0,,18680.0,,19960.0,,1,
2015-01-22,20160.0,,20240.0,,19600.0,,20240.0,,1,
2015-01-23,19600.0,,20160.0,,19360.0,,19360.0,,1,
2015-01-26,21440.0,,23160.0,,19080.0,,19080.0,,9,
2015-01-27,21200.0,,22400.0,,20040.0,,21160.0,,2,
2015-01-28,20560.0,,21280.0,,20000.0,,20720.0,,1,
2015-01-29,21000.0,,21000.0,,19680.0,,20800.0,,0,
2015-01-30,21240.0,,21680.0,,20600.0,,21360.0,,1,
2015-02-02,21920.0,,22960.0,,20120.0,,21200.0,,6,
2015-02-03,21840.0,,22400.0,,21000.0,,22240.0,,1,
2015-02-04,22480.0,,22800.0,,21480.0,,22640.0,,1,
2015-02-05,22040.0,,22040.0,,22040.0,,22040.0,,0,
2015-02-06,21920.0,,21920.0,,21760.0,,21920.0,,1,
2015-02-09,21440.0,,21800.0,,21360.0,,21720.0,,0,
2015-02-10,22080.0,,22600.0,,22040.0,,22040.0,,1,
2015-02-11,23120.0,,23880.0,,21040.0,,22800.0,,4,
2015-02-12,22880.0,,22880.0,,21440.0,,22480.0,,2,
2015-02-13,22000.0,,22760.0,,21640.0,,22720.0,,3,
2015-02-17,16960.0,,22000.0,,16960.0,,21560.0,,9,
2015-02-18,16200.0,,17560.0,,16000.0,,16760.0,,5,
2015-02-19,17360.0,,17360.0,,16200.0,,16200.0,,0,
2015-02-20,16960.0,,17360.0,,16240.0,,16240.0,,2,
2015-02-23,16320.0,,16320.0,,16320.0,,16320.0,,0,
2015-02-24,16880.0,,16920.0,,16440.0,,16920.0,,1,
2015-02-25,16960.0,,17480.0,,16240.0,,16240.0,,1,
2015-02-26,16560.0,,18040.0,,16400.0,,17480.0,,5,
2015-02-27,16080.0,,16880.0,,15720.0,,16200.0,,3,
2015-03-02,15640.0,,16160.0,,15640.0,,16080.0,,2,
2015-03-03,15800.0,,16920.0,,15560.0,,15560.0,,1,
2015-03-04,15240.0,,16320.0,,15080.0,,16320.0,,1,
2015-03-05,15600.0,,16040.0,,15160.0,,15160.0,,2,
2015-03-06,15600.0,,15600.0,,15600.0,,15600.0,,0,
2015-03-09,15200.0,,15440.0,,15160.0,,15200.0,,3,
2015-03-10,15640.0,,16000.0,,15240.0,,15240.0,,1,
2015-03-11,16400.0,,16560.0,,16400.0,,16560.0,,0,
2015-03-12,15800.0,,16520.0,,15440.0,,16200.0,,1,
2015-03-13,16480.0,,16480.0,,16000.0,,16040.0,,0,
2015-03-16,16480.0,,16480.0,,16480.0,,16480.0,,0,
2015-03-17,15880.0,,16120.0,,15880.0,,16000.0,,0,
2015-03-18,16200.0,,16200.0,,16200.0,,16200.0,,0,
2015-03-19,16200.0,,16200.0,,16200.0,,16200.0,,0,
2015-03-20,15560.0,,16440.0,,15440.0,,15680.0,,1,
2015-03-23,15560.0,,15560.0,,15560.0,,15560.0,,0,
2015-03-24,16360.0,,16360.0,,15760.0,,16360.0,,0,
2015-03-25,16000.0,,16080.0,,16000.0,,16080.0,,0,
2015-03-26,16000.0,,16000.0,,16000.0,,16000.0,,0,
2015-03-27,16000.0,,16000.0,,16000.0,,16000.0,,0,
2015-03-30,15560.0,,15640.0,,15280.0,,15640.0,,1,
2015-03-31,15440.0,,15440.0,,15080.0,,15080.0,,1,
2015-04-01,15440.0,,15440.0,,15360.0,,15400.0,,1,
2015-04-02,15440.0,,15440.0,,15440.0,,15440.0,,0,
2015-04-06,15280.0,,15960.0,,15280.0,,15640.0,,2,
2015-04-07,15760.0,,16800.0,,15560.0,,15840.0,,1,
2015-04-08,17200.0,,18200.0,,15680.0,,15680.0,,3,
2015-04-09,17400.0,,18360.0,,17240.0,,18000.0,,0,
2015-04-10,16560.0,,17960.0,,16520.0,,17960.0,,0,
2015-04-13,16880.0,,17920.0,,16840.0,,17800.0,,0,
2015-04-14,17880.0,,17880.0,,16600.0,,16600.0,,0,
2015-04-15,17240.0,,17240.0,,16800.0,,16800.0,,0,
2015-04-16,17200.0,,17600.0,,16800.0,,16880.0,,0,
2015-04-17,15760.0,,16840.0,,15760.0,,16480.0,,1,
2015-04-20,15760.0,,15760.0,,15760.0,,15760.0,,0,
2015-04-21,16360.0,,16600.0,,15600.0,,16000.0,,1,
2015-04-22,16480.0,,16760.0,,16480.0,,16760.0,,0,
2015-04-23,16000.0,,16560.0,,16000.0,,16560.0,,1,
2015-04-24,16640.0,,16680.0,,15600.0,,15600.0,,1,
2015-04-27,16360.0,,16360.0,,16280.0,,16280.0,,0,
2015-04-28,16360.0,,16400.0,,16280.0,,16400.0,,1,
2015-04-29,16640.0,,16640.0,,16360.0,,16400.0,,1,
2015-04-30,16200.0,,16640.0,,16200.0,,16640.0,,0,
2015-05-01,16120.0,,16440.0,,16120.0,,16440.0,,0,
2015-05-04,15720.0,,16520.0,,15680.0,,16160.0,,0,
2015-05-05,15880.0,,16360.0,,15880.0,,16360.0,,0,
2015-05-06,16240.0,,16240.0,,16240.0,,16240.0,,0,
2015-05-07,16480.0,,16480.0,,15560.0,,15560.0,,0,
2015-05-08,17680.0,,17720.0,,16200.0,,16200.0,,3,
2015-05-11,16880.0,,16960.0,,16720.0,,16800.0,,1,
2015-05-12,16400.0,,17720.0,,16000.0,,17720.0,,4,
2015-05-13,16760.0,,16760.0,,15760.0,,16040.0,,14,
2015-05-14,15800.0,,16680.0,,15640.0,,16000.0,,8,
2015-05-15,15560.0,,15880.0,,15520.0,,15760.0,,1,
2015-05-18,15800.0,,16120.0,,15800.0,,16120.0,,0,
2015-05-19,16000.0,,16120.0,,15960.0,,16120.0,,0,
2015-05-20,15720.0,,15880.0,,15640.0,,15880.0,,0,
2015-05-21,15520.0,,15680.0,,15480.0,,15680.0,,0,
2015-05-22,15440.0,,15640.0,,15440.0,,15600.0,,0,
2015-05-26,15800.0,,15800.0,,15760.0,,15760.0,,0,
2015-05-27,15760.0,,15880.0,,15760.0,,15880.0,,1,
2015-05-28,15760.0,,15760.0,,15600.0,,15600.0,,0,
2015-05-29,16000.0,,16000.0,,15640.0,,15640.0,,0,
2015-06-01,15520.0,,15600.0,,15520.0,,15600.0,,0,
2015-06-02,15400.0,,15840.0,,15400.0,,15840.0,,0,
2015-06-03,15400.0,,15400.0,,15400.0,,15400.0,,0,
2015-06-04,15760.0,,15840.0,,15480.0,,15480.0,,1,
2015-06-05,15680.0,,15680.0,,15320.0,,15320.0,,1,
2015-06-08,15600.0,,15600.0,,15280.0,,15280.0,,0,
2015-06-09,15800.0,,16000.0,,15280.0,,16000.0,,1,
2015-06-10,16880.0,,18760.0,,15640.0,,15640.0,,22,
2015-06-11,18240.0,,19160.0,,17080.0,,17400.0,,6,
2015-06-12,16960.0,,17800.0,,16880.0,,17480.0,,1,
2015-06-15,17840.0,,18840.0,,16960.0,,16960.0,,1,
2015-06-16,18560.0,,18560.0,,17200.0,,18360.0,,0,
2015-06-17,17760.0,,18320.0,,17000.0,,18320.0,,1,
2015-06-18,17760.0,,17760.0,,17760.0,,17760.0,,0,
2015-06-19,17120.0,,18200.0,,17120.0,,18200.0,,0,
2015-06-22,16920.0,,17040.0,,16880.0,,16880.0,,1,
2015-06-23,17880.0,,17880.0,,16920.0,,16920.0,,1,
2015-06-24,16880.0,,16960.0,,16680.0,,16960.0,,1,
2015-06-25,16360.0,,16360.0,,16360.0,,16360.0,,0,
2015-06-26,15640.0,,16280.0,,15640.0,,15800.0,,2,
2015-06-29,15200.0,,15200.0,,15200.0,,15200.0,,0,
2015-06-30,15320.0,,16240.0,,15280.0,,16240.0,,1,
2015-07-01,15480.0,,15480.0,,15480.0,,15480.0,,0,
2015-07-02,15920.0,,15960.0,,15920.0,,15960.0,,0,
2015-07-06,16080.0,,16120.0,,15240.0,,15240.0,,1,
2015-07-07,15240.0,,15320.0,,15120.0,,15320.0,,1,
2015-07-08,14680.0,,14760.0,,14440.0,,14440.0,,0,
2015-07-09,14680.0,,14680.0,,14680.0,,14680.0,,0,
2015-07-10,14800.0,,14800.0,,14720.0,,14760.0,,0,
2015-07-13,14920.0,,15000.0,,14600.0,,15000.0,,1,
2015-07-14,14600.0,,14600.0,,14600.0,,14600.0,,0,
2015-07-15,14600.0,,14600.0,,14600.0,,14600.0,,0,
2015-07-16,14520.0,,14520.0,,14440.0,,14440.0,,1,
2015-07-17,14120.0,,14440.0,,14040.0,,14040.0,,1,
2015-07-20,13880.0,,14080.0,,13840.0,,14080.0,,0,
2015-07-21,13880.0,,13880.0,,13880.0,,13880.0,,0,
2015-07-22,13880.0,,13880.0,,13880.0,,13880.0,,0,
2015-07-23,14120.0,,14120.0,,14120.0,,14120.0,,0,
2015-07-24,14040.0,,14040.0,,14040.0,,14040.0,,0,
2015-07-27,14040.0,,14040.0,,14040.0,,14040.0,,0,
2015-07-28,14240.0,,14960.0,,14040.0,,14040.0,,0,
2015-07-29,14240.0,,14240.0,,14240.0,,14240.0,,0,
2015-07-30,14240.0,,14240.0,,14240.0,,14240.0,,0,
2015-07-31,13840.0,,14520.0,,13840.0,,14120.0,,1,
2015-08-03,14320.0,,14400.0,,14320.0,,14400.0,,0,
2015-08-04,13680.0,,13720.0,,13680.0,,13680.0,,0,
2015-08-05,13840.0,,13840.0,,13800.0,,13800.0,,0,
2015-08-06,13720.0,,13720.0,,13720.0,,13720.0,,0,
2015-08-07,13720.0,,13720.0,,13720.0,,13720.0,,0,
2015-08-10,13880.0,,13880.0,,13880.0,,13880.0,,0,
2015-08-11,14320.0,,14320.0,,14320.0,,14320.0,,0,
2015-08-12,14320.0,,14320.0,,14320.0,,14320.0,,0,
2015-08-13,13280.0,,13400.0,,13280.0,,13280.0,,0,
2015-08-14,13280.0,,13280.0,,13280.0,,13280.0,,0,
2015-08-17,13280.0,,13280.0,,13280.0,,13280.0,,0,
2015-08-18,13600.0,,13600.0,,13520.0,,13520.0,,1,
2015-08-19,13600.0,,13600.0,,13600.0,,13600.0,,0,
2015-08-20,13600.0,,13600.0,,13600.0,,13600.0,,0,
2015-08-21,13600.0,,13600.0,,13600.0,,13600.0,,0,
2015-08-24,12440.0,,13320.0,,12440.0,,13320.0,,3,
2015-08-25,12040.0,,12640.0,,12040.0,,12640.0,,0,
2015-08-26,12040.0,,12040.0,,12040.0,,12040.0,,0,
2015-08-27,12120.0,,12120.0,,12080.0,,12080.0,,1,
2015-08-28,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-08-31,10520.0,,12560.0,,10520.0,,11880.0,,1,
2015-09-01,11960.0,,12080.0,,11560.0,,12080.0,,1,
2015-09-02,13320.0,,13320.0,,11840.0,,11840.0,,0,
2015-09-03,13320.0,,13320.0,,13320.0,,13320.0,,0,
2015-09-04,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-08,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-09,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-10,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-11,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-14,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-15,13360.0,,13360.0,,13360.0,,13360.0,,0,
2015-09-16,13080.0,,13080.0,,13080.0,,13080.0,,1,
2015-09-17,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-18,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-21,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-22,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-23,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-24,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-25,13080.0,,13080.0,,13080.0,,13080.0,,0,
2015-09-28,11800.0,,11880.0,,11800.0,,11880.0,,1,
2015-09-29,11800.0,,12200.0,,11800.0,,11800.0,,0,
2015-09-30,11800.0,,11800.0,,11800.0,,11800.0,,0,
2015-10-01,11880.0,,11880.0,,11800.0,,11880.0,,0,
2015-10-02,11800.0,,11800.0,,11800.0,,11800.0,,0,
2015-10-05,11800.0,,11800.0,,11800.0,,11800.0,,0,
2015-10-06,11800.0,,11800.0,,11800.0,,11800.0,,0,
2015-10-07,11800.0,,11800.0,,11800.0,,11800.0,,0,
2015-10-08,11040.0,,11040.0,,10840.0,,10840.0,,0,
2015-10-09,12000.0,,12200.0,,12000.0,,12200.0,,0,
2015-10-12,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-10-13,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-10-14,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-10-15,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-10-16,12120.0,,12120.0,,12120.0,,12120.0,,0,
2015-10-19,12120.0,,12120.0,,12120.0,,12120.0,,0,
