id,name,birth_date,popularity,character_ids,movie_ids
10,Jeffery Nelson,1985-11-07,7.09352815354726,3092;1466;1430;2002;248;1728;3054;1166;2085;3036;297;312;648;965;1661;191;339;1807;1441;1857;2053;2752;1561;2550,9;42;663;744;959;1163;1826;2022;2149;2284;2362;2364;2410;2927;3486;3737;3757;3956;4372;4429;4918;5475;5770;5908
11,Rebecca French,1949-09-06,4.236702615875768,1930;84;3192;532;2148;252;690;2049;1499;94;1161;1891;1709;2597;292;473;731;2678;2317,112;476;915;1002;1227;1893;1955;2144;3913;4180;4790;4893;5326;5454;5583;5611;5651;5924;6331
12,Gabriela Randolph,1979-03-14,1.5680063718428905,1172;3166;1157;1751;2216;772;1869;2901;822;1415;969;2324;119;632;1935;615;2527;1713;2639;293;1644;2840;2266,303;912;1083;1166;1236;1503;1662;1804;1974;2058;2457;2657;3264;3339;3520;3795;4059;4410;4538;5583;5782;5947;6325
13,Megan Barron,1951-09-22,9.731223292048016,459;2541;3101;3227;2161;1094;1267;2465;2083;3042;405;504;1113;826;2685;2800;2066;2021;2151;8;399,103;822;903;919;1229;2013;2500;2677;3082;3219;3308;3322;3406;3823;4085;4101;4920;5259;5832;5850;6006;6059
14,John Williams,1969-02-08,5.215010447618385,3019;1736;2254;2425;0;3114;1712;2310;1361;1632;2937;2180;182;728;813;1948;2692;3206;141;524;942;1395;1525;77;322;1628;1785;2809;2869;783;1535;1660;2585;2709;10;1686;1722;1890;3214,26;149;361;412;923;1368;1640;1721;2050;2091;2750;3095;3273;3352;3365;3521;3630;3705;3729;3781;3838;3899;3916;4177;4213;4399;4421;4566;4573;5192;5300;5318;5911;5928;6006;6243;6249;6269;6462
15,Justin Jones,1992-06-10,9.77926283710249,3081;1051;1747;1043;325;387;661;1298;798;2805;471;2139;2594;2685;2884;1684;1843;2480;3120,414;610;709;1068;2366;2375;2412;2505;3363;3644;3774;4005;4069;4547;4576;5322;5343;5896;5985
16,Brenda Rogers,1980-11-22,1.25133356028309,5;2116;2585;7;1038;2989;1995;2951;784;914;962;2292;732;2243;3047;24;3219;133;708;2253;2953;612;1878,924;1221;1296;1388;1544;1816;2604;2752;2904;2920;2927;3571;3810;4019;4136;5087;5535;5562;5647;5864;5963;6090;6268
17,John Crosby,1983-08-25,2.1186424345077883,1828;2682;908;2178;326;2201;2468;537;1684;2217;170;1433;1071;1335;1641;2356;2835;381;2075;714;1070;2392;834;1344;2613;494;852;169,137;322;591;770;970;1233;1276;1470;1634;1708;1880;2060;2471;2510;2557;2661;2734;2849;3081;4266;4319;4503;4745;4816;4992;5155;5667;6494
18,Michele Mullins,1995-12-13,6.190437604188682,3209;1123;832;2091;2915;843;1730;1441;2421;720;2628;598;2487;1716;761;2027;43;60;1495;1650;2460;89;1252;782;3094,154;1078;1512;1692;1806;1977;2105;2526;2670;2896;3160;3333;3602;3942;4273;4453;4635;4636;4835;4856;4971;5098;5257;6115;6443
19,Harold Adams,1990-06-18,2.1890641296126656,628;1422;180;1187;2038;2680;1751;2333;3091;2253;2749;598;289;1974;2559;1692;2522;325,99;348;1415;1568;1684;2709;3037;3115;3225;3564;4556;4712;5126;5362;5447;5790;5902;6050
20,Anthony Watson,1974-12-16,1.8369377272207255,3145;389;185;1812;3125;56;986;1991;2042;3133;2308;177;399;925;397;1058;1522;2935;1312;2762;1916;2630,284;521;1416;1654;1836;1863;1997;3070;3534;3693;4028;4194;4224;4758;5141;5229;5298;5495;5732;5935;6272;6375
21,Mr. Bryan Mckinney,1990-05-01,7.459957374333396,1601;2508;305;44;2181;1985;2853;282;85;2328;496;1527;1653;2429;555;1350;2075;1745;2709;165;424;248;317;733;3200,285;340;461;470;770;1199;1797;1898;2326;2657;2865;3005;3023;3129;3328;3441;3538;3947;4088;5108;5144;5578;5587;6109;6460
22,Stephanie Hayes,1969-03-23,5.592942878982678,1615;544;156;715;1463;2120;483;824;927;1706;2894;591;3218;1162;2318;533;2738;2904;2607;709;2521;2968;373,197;392;488;567;1124;1222;1926;1974;1989;2566;2742;2877;3707;3868;4029;4243;4554;4579;4991;5182;5442;5965;6056
23,Theresa Lamb,2004-04-08,8.417129894883129,1543;2693;1868;828;1390;2284;1041;1234;4;1520;1864;2381;2382;81;423;466;1115;2134;1391;811;2009;2657;1236,22;175;726;1041;1591;1717;2005;2030;2313;3003;3051;3123;3587;3721;3768;3774;4783;4928;5278;5662;5831;5922;6178;6481
24,Steven Ellis,1949-08-17,8.165588355990245,2026;2666;164;767;2033;404;1782;394;1529;1024;1706;2719;2955;3224;436;1441;1453;2809;559;1291;2841;818;2567;418;903;1993;2187;2293;1094,82;363;488;573;1207;1449;1650;1914;2076;2465;3031;3173;3208;3244;3313;3457;3459;3644;4247;4350;4569;4743;4987;5144;5207;5365;5392;5869;6159
25,Christopher Mullen,1949-05-29,4.684360956953188,703;2514;1287;1680;970;1232;2940;2428;2844;1118;2810;2376;2765;648;1755;1861;2353;1472,232;422;1100;1634;1994;2030;2268;2672;3190;3862;4102;4501;4558;4720;5797;5810;5878;6212
26,Donald Terry,1977-12-12,3.131896604053672,1463;629;2195;476;1536;957;1113;2153;341;735;1553;649;2386;545;1272;1288;874;1402;553;2850;3024;1181,206;376;772;992;1135;1531;2015;2158;2369;2423;2543;2887;3123;3327;3428;3884;4750;4823;5625;5948;5971;6170
27,Dan Crane,1945-09-18,6.418908343099048,301;1178;2955;2502;207;1403;2469;1413;1821;1851;215;2145;1000;628;17;1259;2918;1275;1622;2601;570;981;72;1883;1885;2113,967;1086;1346;1747;1885;2057;2201;2522;2582;2586;2826;3091;3389;3796;4632;4803;5035;5260;5312;5454;5628;5686;6016;6268;6269;6303
28,Wayne Weaver,1953-02-26,8.272536797856544,2617;1535;2711;2155;2415;2846;3009;1824;2873;2152;1294;3015;1093;1402;2688;124;1207;1840;941;1072;2019;281;809;974;2121;864;1835;2921,369;679;846;1228;1269;1332;1818;2118;2257;2629;3432;3676;3858;4367;4547;4646;4795;4884;5213;5231;5368;5582;5662;5685;5846;6127;6262;6417
29,Jason Rojas,1945-08-19,1.6482435952627394,1454;1019;10;1184;1071;944;1340;1880;458;1821;253;722;1567;1760;2090;1278;2752;2466;82;815;1874,85;295;433;627;1072;1530;1586;2124;3315;3506;3745;3808;4390;4417;4460;4807;5010;5433;6017;6120;6267
30,Arthur Wiggins,1959-12-25,8.033392606040696,2821;1165;1568;1623;1793;3017;2371;2607;280;499;590;2992;293;1967;209;1371;510;1220;2994;1016;1083;2718;3242,162;1084;1139;1147;1172;1356;1730;1763;1898;2391;2402;3212;3290;3979;4656;5274;5617;5720;5968;6149;6158;6390;6467
31,Kelly Rogers,1983-07-21,6.466471956984839,1364;2775;1361;2140;1887;2709;786;726;1598;152;876;775;1076;1852;2948;2363;2842;64;2800;2945;332;1763;2633;3147,279;854;1110;1225;1665;1776;1969;2897;3015;3268;3830;4275;4778;4885;5038;5418;5484;5551;5939;5962;6050;6254;6376;6453
32,Matthew Nguyen,1984-07-19,1.947305893146959,623;659;3025;3080;2819;417;1384;1843;2257;644;2431;377;161;680;1232;2825;3054;172;419;2765;511;744;1388;1862,153;559;889;899;1793;1917;2518;2585;2646;2886;3130;3304;3733;3803;4341;4567;4602;4652;4685;5013;5158;5187;5277;5811
33,Kerri Kelley,1975-05-04,1.084008820682768,1311;928;279;1160;1646;2825;1451;182;538;1416;1512;1917;2747;3012;3138;2807;9;3128;472;2437;2505;1056;1710;212;934;2416;728;999;110,129;149;459;624;693;861;1122;1415;1934;2058;2073;2129;2241;2763;2780;3186;3713;4147;4234;4510;4519;4775;4864;5116;5211;5424;5651;6146;6486
34,Carlos Clarke,1955-11-10,0.7780857654438633,585;1419;1984;2592;351;416;2899;2999;1263;1013;2088;2387;1812;3214;293;346;739;3167;1903;2121;2035;807;957;2492;444;1006;2561,397;661;742;829;975;984;1338;1352;1577;2002;2150;2190;2580;2790;2836;2844;2898;3236;3517;3545;3990;4741;5216;5897;6066;6147;6367
35,Cristina Watson,1963-10-12,6.031901670902763,2405;2808;562;1288;1554;205;517;3230;586;969;2221;2410;1386;1522;306;542;2615;483;213;502;1124;732;3025,31;301;546;641;681;953;1000;1385;1478;1533;1708;1735;2518;2538;2839;2872;3158;3775;4657;4698;4784;5185;5971
36,Amber Gomez,1975-03-14,8.46609274562237,1109;2282;2365;1702;156;1815;1206;2751;1380;1115;2988;1485;2067;3199;1883;2679;1114,618;786;796;1159;1877;2581;2960;3176;3445;3861;5045;5292;5375;5531;5814;5924;6161
37,Lisa Martin,1980-08-07,0.2804885983116856,1976;2654;905;2052;2146;2455;1238;1353;1812;836;1247;1483;2833;531;1334;845;2087;1647;2779;2879;437;945;2011,44;1304;1525;1687;1698;1740;2031;2049;2116;2910;2965;2997;3188;3325;3891;4746;4923;5317;5477;5489;5606;6138;6287
38,William Franco,1991-04-28,2.822069314327865,546;1100;555;113;2780;838;2173;2951;3200;36;1113;2322;608;711;1218;2512;493;2626;1680;2150;2525;3003;677;789,42;137;1005;1404;1787;1976;2161;2270;2789;2799;2948;3112;3335;3351;3875;4057;4237;5457;5788;5850;5903;5969;6101;6116
39,Rebecca Martin,1952-02-16,5.415679149811307,2551;1920;1219;2609;1950;2076;993;649;764;2977;3211;1286;2080;2240;2476;533;2745;3004;2195;2662;70,114;384;411;831;1194;1215;1536;1950;1964;2273;2307;2970;3082;3102;3138;3325;3637;3673;5856;5922;6480
40,Eugene Martinez,1961-11-22,0.6531916716627728,426;1526;1034;1602;119;578;627;755;1426;1715;2647;344;2105;1857;3185;1043;1814;2495;710;1894;2680;305;2753;1433;478;842;2390;3227;171,306;330;331;688;940;1008;1484;1501;1597;1640;1767;1908;2151;2587;2787;2938;3044;3140;3351;4435;4999;5128;5475;5751;6071;6124;6342;6464;6494
41,Daniel Mann,1989-06-18,5.971107558233813,2128;504;1575;503;531;614;2158;2637;1591;586;225;1699;2425;3243;655;3222;1263;1380;1542,255;537;685;1928;2394;2405;2630;2703;3013;3791;4199;4862;4967;5081;5176;5535;5725;5742;5767
42,Gregg Watson,1980-11-28,7.565214403695391,713;1085;112;466;586;1192;2042;410;631;1414;2054;1302;471;1518;3073;261;2070;538;555;1097;1193;1395;2742;417;1445;1634;154,232;310;481;532;550;628;750;1449;1485;1595;1687;2041;2388;2537;2770;3285;3996;4243;4246;4322;5249;5745;5932;6063;6208;6236;6491
43,Kimberly Martinez,1945-11-13,3.0912011256623115,3237;2266;2410;1632;1416;2091;2581;2131;2726;1612;1821;2798;286;2203;931;2078;3037;1970;2708;3098;447;1327;3157,322;784;803;1628;2522;3083;3153;3547;3635;3930;3959;4101;4208;4936;5210;5376;5508;5826;5927;5982;6067;6193;6455
44,Jonathan Thomas,1975-05-05,5.516913771757924,2925;909;855;1595;3128;1708;2573;817;913;943;2595;3075;31;2515;1637;764;362;1429;1742;2664;3012;1321,372;1052;1516;1623;1836;2101;2215;2435;2449;2453;2694;2771;2799;3143;3933;4273;4677;5284;5331;5463;5505;5733
45,Brittney Cordova,1981-05-03,6.383889610260867,1498;2419;2034;396;704;1612;517;1370;2254;1855;2583;873;1107;2806;593;1182;497;2710,37;240;429;981;1024;1145;1931;2983;3565;3965;4067;4288;4323;5019;5630;5714;6074;6389
46,Erin Thornton,1976-06-03,0.3236679166805112,3059;1919;13;1344;2089;2630;224;311;2384;1392;1904;2547;2380;289;444;1059;540;1935;1994;2408;2466;60;1657;498;2862;2607,61;62;434;650;758;834;956;969;1263;1591;1669;1754;2190;2360;2383;2470;2871;3062;3528;3590;3599;3719;3935;4698;5028;5455
47,Tracy Webster,1983-03-20,2.691680124777507,895;1968;398;454;2430;3141;1692;2073;2111;3117;2294;3199;2025;2438;662;784;2835;235;2888;977;931;1742;1932;2184;1716,52;346;523;531;806;1371;1636;1689;1694;1834;2179;2304;2610;2673;2889;4276;4569;4660;5031;5219;5678;5796;5821;5854;6249
48,Rebecca Chandler,2006-12-07,9.766631466904489,3122;2993;746;984;1233;447;657;1957;3106;1984;2251;403;1980;2852;13;175;1164;1283;511;1209;1757;2874;1814;1025;780;1371;3013,30;70;115;272;318;411;559;1195;1367;1678;1713;2378;2602;3192;3249;3272;3415;3883;4240;4337;4417;4574;4880;5692;6115;6199;6431
49,Michael Dennis,2005-06-05,5.6479681316669685,2590;1956;45;136;716;234;1928;571;1252;2622;791;989;1089;2233;2662;358;2090;1795;2853;1426;1857;2498;2506;2576;542;729;911;2510;1265;1652,214;408;438;484;568;958;1672;1937;2033;2222;2431;2460;2473;2642;3164;3298;3540;3955;4110;4370;4886;5437;5439;5449;5623;5651;5675;5900;6182;6238
50,Michael Wilson,1945-11-10,5.6373932202528385,2191;721;518;1047;2730;1996;2563;1690;1752;1855;3034;136;2180;2662;1675;2127;1578;590;2220;3043;1360;2097;2221,368;568;1000;1068;1316;2137;2214;2563;2571;3049;3219;3266;4010;4080;4405;4465;4847;5630;5860;5973;6198;6302;6319
51,Ryan Griffin,1950-06-19,7.902257031485958,914;1384;2739;1856;2298;3019;160;1393;3225;936;1038;2764;2645;2768;3161;1036,299;393;1317;1659;1720;1819;2817;2986;3245;3837;3850;4558;4995;5013;5991;6152
52,Lee Lee,1979-12-30,0.45680612683660526,2331;2465;1482;1893;3012;3169;374;832;2905;30;1155;1657;1276;2161;2227;1848;141;2451;2899;3245;197;1216;410;913;2436;1892;3102;4,145;159;179;731;888;912;978;1041;1804;1860;2021;2094;2969;3551;3561;3964;4188;4513;4578;4629;4655;4797;5143;5208;5428;6269;6445;6469
53,Timothy Ramirez,1945-09-15,3.145802922041038,404;817;1345;1929;2880;662;2809;3167;281;1686;2324;2440;412;2819;387;489;1313;1976;1526;2112;2847;1933;2896;797;1368;2861;2985,140;230;650;735;870;1019;2249;2300;2359;3028;3577;3595;3767;4104;4222;4236;4354;4905;5299;5381;5485;5821;5954;6117;6199;6409;6427
54,Samuel Rhodes,1950-02-12,9.435091414198642,2175;2238;460;2759;37;654;631;767;3185;1091;1332;1566;2831;487;2797;30;2993;504;2925;1594;177,770;779;990;1319;1861;1951;2408;2427;3239;3402;3439;3473;4106;4236;4564;4633;5046;5156;5494;6229;6494
55,Jennifer Henry,1985-03-20,0.08478730772000675,3034;15;1710;2297;372;496;2800;512;1564;2303;2764;2966;1031;2575;2975;3141;1743;2278;2669;1506;1608;692;471;2589;743;2716;147,144;466;703;788;977;1463;1789;1930;2081;2181;2243;2272;2466;2692;2757;3232;3496;3569;3627;3914;4396;5181;5611;5912;6110;6390;6490
56,Terri Kerr,1968-09-28,3.5664914363383815,955;203;1147;53;2579;2940;2998;2458;151;2012;2197;2885;2413;1295;936;1362;1671;2602;2628;2849;2913;2455;3091;2655;2384;2840,242;496;1081;1394;1757;1809;2277;2676;2816;3073;3097;3197;3591;3885;4299;4362;4405;4534;4537;4571;4580;5431;5516;5922;6341;6406
57,Mike Patterson,1970-06-12,2.824021798278318,138;763;169;920;2023;2547;3066;131;885;1528;1782;1211;1778;2772;1031;1646;824;1430;2872;2825,81;275;946;1054;1205;1289;1362;1406;1521;1613;2113;2493;3500;4098;4313;4855;5197;5750;5951;6405
58,Dustin Bell,1974-06-29,3.9813638851207553,3138;969;2437;2691;580;1665;2141;2887;638;2535;1855;2682;1035;916;157;1840,2;159;215;2233;2401;2560;2627;2741;2886;3146;3510;3629;3850;4295;4650;6263
59,Anita Luna,1974-05-27,1.9488370652848808,2168;632;2178;2751;1090;1098;2402;228;3196;2055;223;274;1139;1928;2074;2103;2488;1202;829;2997;1101;1849;271;358;758;1216;1718;3129,60;393;417;851;1074;1075;1267;1423;2304;2615;2827;3287;3409;3520;3538;3542;3602;3874;4282;4593;4781;5345;5581;5593;5655;6176;6249;6451
60,Jennifer Ramos,1955-04-27,7.518422707218029,2838;1206;519;1043;1369;2260;2276;2471;2997;586;1755;2702;1756;1937;2725;1561;1838;189;1396;2025;2530;1872;2251;779;890;2402;2611;164;1070;2168,51;249;1001;1545;1589;1714;1716;1743;1817;1940;2108;2234;2571;2598;3635;3922;3961;4196;4366;4915;4981;5348;5402;5658;5673;5885;5916;6027;6156;6311
61,Tracy Coleman,2005-03-04,7.256881248640812,25;1256;1871;2483;1429;1454;2652;1814;2153;759;2007;2886;580;1776;2400;27;271;642;1729;2066;2142;1029;3061;586;2605;3246;112;2003;2543;2773;571;3037,435;636;726;815;1119;1123;1304;1654;1700;1964;3072;3197;3331;3500;3589;3715;3748;3799;3944;3995;4005;4313;4603;4710;4991;5082;5101;5539;5830;5907;5936;6085;6436
62,Russell Harper,1953-12-12,9.73850742947436,880;2942;484;717;1278;1596;1539;2126;252;1444;580;608;2331;455;615;1974;2749;409;658;1220;1331;1092;3017;5;1669;97;746,588;877;994;1025;1099;1143;2077;2154;2355;2526;2876;2880;3114;3315;3336;3980;4095;4225;4259;4339;4355;4780;5050;5540;5787;6018;6111
63,John Dillon,1966-12-30,7.026568105420949,1507;275;0;235;3087;1001;1815;731;1049;2247;2931;1281;923;2455;2633;420;698;2645;938;1651;2360;2966;2249;2385;3115,64;459;464;499;1365;1537;1654;1961;2007;2171;2749;2970;3379;3598;3622;3768;4265;4538;4759;5317;5417;5500;5864;5882;6449
64,Tyler Avila,1950-03-11,0.9737983592836696,2427;1732;924;1229;2246;2612;323;736;2992;1975;2117;2403;3026;1661;3089;753;1006;1687;428;2194;2215;1083;777,340;707;1054;1093;1712;1763;1904;1962;2275;2602;2623;2668;3217;3936;4142;4272;4311;4407;4687;4935;4939;5701;6114
65,Mark Nelson,1956-01-27,4.072865612544952,286;964;556;1999;1797;2728;353;562;1984;2858;217;2086;3131;2580;975;1323;3222,129;600;1005;1202;1651;2238;2370;2399;2603;2737;2826;3540;4614;4988;5685;5733;6463
66,Michelle Fischer,1953-06-28,7.414513416854918,2559;926;417;128;1996;3058;1443;2175;183;325;1715;2813;536;2577;1177;1517;1868;114;1197;1243;616;1291;2085;93;2728;345;1369;1785;2898,48;593;984;1406;1679;1826;2526;2632;2820;2841;3033;3186;3326;3614;3870;3915;3968;4644;4794;4801;5172;5262;5377;5556;5930;6053;6199;6256;6415
67,Ronnie Roberts,1977-07-22,1.0100288318229544,2340;1875;1304;1791;3139;789;2484;103;654;1966;1454;2739;3132;536;1299;2201;2699;684;947;2445;2735;2520;1475;1852,89;726;1102;1171;1371;1969;2203;2329;2411;3067;3459;3636;3693;3783;3885;4012;4087;4263;4301;4512;4554;4980;5291;6265
68,Ronald Davenport,1964-11-07,8.07494333200605,116;2069;107;3177;497;2944;3242;972;1301;2971;118;1339;193;2183;1506;2243;543;1380;1392;802;859;2411;2545;1185;2019;3116,482;1214;1403;1845;1928;2268;2794;2927;2973;3210;3264;3440;3738;4010;4382;4483;4703;4821;4822;5194;5202;5424;5445;5714;5832;5984
69,Patrick Walker DDS,1954-08-27,1.501866580820479,1241;1025;1925;3146;1005;44;3212;781;1059;1154;390;1973;2873;3231;60;1530,174;606;1190;1371;2001;2319;3706;3816;4775;4789;5140;5362;5488;6003;6014;6218
70,Tyler Flowers,1976-04-30,5.8717550930432445,1488;1477;34;1834;3148;1796;1877;1515;2330;2028;2725;2336;988;3095;1750;2492;768;2043;2360;1154;2868,160;400;469;1657;1840;2114;2124;2536;2658;3076;3173;3580;3843;4143;4869;4975;5191;5371;5879;6165;6410
71,Maxwell Roberts,1956-05-18,3.821117317449527,517;1758;2159;2527;2766;1653;1798;1550;1784;650;1419;1874;2677;2644;2186;3028;2422,18;710;768;1287;1321;1630;1651;3471;3501;3800;3902;4431;4544;4995;5392;5972;6346
72,Michael Sanchez Jr.,1963-01-14,5.863582035065616,2558;888;1846;671;2714;1137;3193;111;1029;2573;2605;2983;2265;2548,31;322;1180;2890;3172;3409;3703;5101;5226;5449;5915;5967;6325;6365
73,Wesley George MD,1976-11-13,8.520270961329958,2976;1613;1332;3109;1323;2336;340;2316;1126;1167;1828;2398;1733;2177;2975;228;2063;2612;2888;3014;1860;2562;2577;3188;3210;193,77;292;342;412;1104;1254;1440;2182;2480;2488;2583;3589;3945;4009;4124;4200;4457;4992;5490;5506;5810;5909;6369;6459;6461;6498
74,Sheena Burton,1976-07-26,2.9011938096003975,529;636;745;1665;2254;1401;2744;3039;2375;430;1626;3182;17;3044;453;1346;2417;2071;1301;1789;2926;1093;1103;2569;2878;471,540;557;570;695;782;1115;1317;1359;1730;2382;2556;3239;3249;3680;3772;3894;4043;4458;4811;4875;5036;5702;5703;5910;5952;6071
75,Sabrina Brooks,1994-01-18,1.5153781087975182,995;293;1164;1259;1943;2796;1192;2420;2969;2754;1110;1273;1588;1045;50;96;1477;2176;1147;1155;2322;2173;3085,603;966;1564;1576;1673;1788;2025;2195;2272;2721;2948;2969;3012;3396;4635;4642;4834;4933;5242;5244;5873;6312;6442
76,Sarah Martin,1948-02-26,4.6310622303748765,2120;27;579;41;150;1179;266;1803;2528;2989;190;1172;1430;2817;3052;2922;2608;2993;3189;503;1133;1569;2609;181;284;2128;2666;57,213;435;1008;1391;1410;1567;1895;2115;2211;2275;2345;2488;2524;2731;2768;3204;3618;4128;4156;4238;5240;5305;5455;6029;6043;6306;6382;6477
77,Joel Steele,1968-06-28,8.852038728144223,892;2833;608;2623;2601;75;1561;930;2434;56;1820;1241;1390;259;328;2789;273;2823;3219;1264;2506,292;862;1012;1765;2219;2325;2544;2922;3130;3718;3958;4343;4365;4663;4672;5017;5581;5944;6000;6182;6358
78,Dominic Barnes,2006-03-29,0.9329086506976403,2995;2781;1072;2918;2938;901;2021;2685;3110;556;2120;638;2488;207;1016;373;494;624;804;1284,35;302;613;874;877;1985;2609;3168;3227;3328;3545;3798;4054;5115;5224;5596;5614;6092;6118;6185
79,Amber Carter,1987-08-27,7.1846270733751405,2520;17;1136;1321;463;1882;2849;90;352;2961;2936;786;966;1170;2602;625;2994;1615;965;1123;3146;3238,155;466;621;646;990;1184;1332;2328;2370;2754;3205;3360;3384;3415;3617;4256;4593;5312;5684;5706;6453;6467
80,Kayla Miranda,1956-08-22,8.844020680758893,814;939;1968;2152;2819;3168;909;1701;2028;1512;1397;1501;2332;3140;185;425;1571;2300;2921;2709;2871;904;2642;3078,329;595;740;767;860;912;1525;1637;1683;2536;3449;3465;3579;3694;4195;4227;4391;4490;4581;5003;5029;5207;5459;5514
81,Linda Jackson,1966-02-15,8.074760338772812,1689;1847;70;155;238;382;212;1257;2352;2744;106;3002;211;288;2177;1528;2683;2135;2767;3080,28;212;474;487;500;520;1886;2034;2186;2240;2330;4130;4198;4208;4933;5300;5466;6307;6396;6442
82,Samantha Cohen,1964-08-29,6.542201499705211,1612;1196;478;1092;697;935;1479;1931;288;2594;1140;304;818;705;2221;2530;1216;174;2351;600;2603;742;1452;3087;1654;2281,1;93;339;412;566;594;669;735;1432;1760;2019;2363;2435;3350;3559;4060;4339;4652;4957;5168;5454;5653;5754;5980;6239;6326
83,Michael Cox,1980-07-16,7.688257151734421,1163;2434;1138;1385;2435;2104;3164;2201;394;1375;995;1888;1042;2858;305;672;1094;2484;1859;2829;1214;996;1032;515,35;200;622;656;1271;1694;1843;2166;2376;2517;2931;3054;3396;3651;3752;3802;3858;4053;4430;4568;4797;5222;5226;6077
84,Samantha Smith,1979-06-08,1.6104702646595703,334;923;1842;104;353;385;1317;122;2078;1867;503;1939;1289;2049;2925;387;966;1375;853;2842;1177;2947,294;1528;1658;1871;1909;1913;2043;2812;3082;3512;3779;3977;4350;4455;4582;4681;5217;5275;5667;5947;6169;6421
85,Richard Jenkins,2006-11-03,9.636673592151695,1002;3015;165;769;1277;278;945;1296;1470;2102;1216;668;1266;1555;2638;3013;1050;1998;1785;2611;20;632;2374;1104;1721;2141;2761;1505;2171,286;418;451;573;640;964;1057;1101;2068;2151;2493;2889;2968;3008;3162;3215;3396;3528;3954;4070;4168;4256;4501;4781;4865;4929;5013;5296;5852
86,Ashley Moore,1959-03-21,5.163007974049364,2482;2863;608;1065;1925;492;596;472;1445;861;2150;1152;1223;500;2426;969;173;624;2604;2656,209;409;553;612;735;996;1011;1459;1601;1980;2158;2485;3421;3778;4044;5217;5569;5636;6372;6380
